Agency,DistrictType,StaffingClassification,CareerFirefighters,VolunteerFirefighters,TotalFirefighters,DistrictSize(sq_mi),DistrictPopulation,DistrictPopulationDensity,BuildingCount,BuildingDensity,County,DeputyStateFireMarshalDistrict,FireRiskReductionDistrict,X,Y,FireServiceCasualties
Nehalem Bay Fire & Rescue,Rural,Combo,5,10,15,24.6,"3,563",146,"4,923",200,Tillamook,4,A,-123.869862,45.720257,0
Wamic RFPD,Rural,Combo,2,10,12,44.9,942,21,"1,569",35,Wasco,18,D,-121.294802,45.208637,0
Wy'East Fire Dist.,Rural,Combo,2,29,31,27.3,"4,954",181,"3,414",125,Hood River,18,D,-121.538718,45.624475,0
Union RFPD,Rural,Volunteer,0,9,9,51.6,"2,395",46,"2,095",41,Union,23,G,-117.856474,45.219917,0
Eugene Springfield Fire,Combination,Career,309,0,309,61.8,"241,923","3,931","105,346","1,705",Lane,8,C,-123.122233,44.041508,0
Alfalfa Fire Dist.,Rural,Combo,2,13,15,63.4,"1,074",17,"1,129",18,Deschutes,16,E,-120.957779,44.075646,0
Wheeler Co. Fire & Rescue,Null,Null,Null,Null,0,Null,Null,Null,Null,Null,Wheeler,20,E,-120.215701,44.99798,0
Lane Fire Authority,Rural,Combo,31,37,68,241.7,"22,866",95,"24,252",100,Lane,8,C,-123.249067,43.968613,0
Pleasant Hill-Goshen Fire & Rescue,Rural,Combo,5,38,43,39.4,"5,507",140,"5,114",130,Lane,8,C,-122.920765,43.974576,0
East Umatilla Fire & Rescue,Rural,Combo,3,5,8,428.8,"3,482",8,"3,414",8,Umatilla,19,D,-118.691106,45.841633,0
Jefferson Co. Fire & EMS,Rural,Combo,30,15,45,153.9,"14,372",95,"8,715",57,Jefferson,17,E,-121.096091,44.66481,0
Western Lane Fire & EMS Authority,Rural,Combo,23,12,35,99.7,"16,332",163,"11,295",113,Lane,8,C,-124.10205,43.989738,0
Westfir VFD,Null,Null,Null,Null,0,0.3,259,836,259,836,Lane,8,C,-122.516612,43.75824,0
McMinnville Fire Dist.,Combination,Combo,37,37,74,89.5,"39,358",440,"15,295",171,Yamhill,5,B,-123.192143,45.215913,0
Central Douglas Fire & Rescue,Rural,Combo,41,27,68,121.8,"30,459",251,"16,573",136,Douglas,11,C,-123.425788,43.277626,0
Rural Metro FD,Null,Career,55,0,55,315,"35,412",113,"26,591",84,Josephine,13,F,-123.322937,42.445709,0
