Agency,DistrictType,StaffingClassification,CareerFirefighters,VolunteerFirefighters,TotalFirefighters,DistrictSize(sq_mi),DistrictPopulation,DistrictPopulationDensity,BuildingCount,BuildingDensity,County,DeputyStateFireMarshalDistrict,FireRiskReductionDistrict,X,Y,FireServiceCasualties
Langlois RFPD,Rural,Volunteer,0,8,8,30.2,583,19,880,29,Curry,12,C,-124.401626,42.93693,0
La Pine RFPD,Rural,Combo,32,20,52,94.2,"18,010",194,"15,331",163,Deschutes,16,E,-121.597502,43.606409,1
Lebanon Fire Dist.,Rural,Combo,33,39,72,134.2,"32,438",245,"23,441",175,Linn,6,B,-122.856825,44.534403,0
Lewis & Clark RFPD,Rural,Combo,2,25,27,14.4,"1,409",102,"2,017",140,Clatsop,1,A,-123.832549,46.086403,0
Lexington FD,Municipal,Volunteer,0,3,3,0.5,202,439,213,463,Morrow,19,D,-119.688042,45.446457,0
Long Creek FD,Null,Volunteer,0,9,9,1,159,159,Null,0,Grant,21,G,-119.104654,44.713044,0
Lostine FD,Municipal,Volunteer,0,5,5,0.3,224,807,240,857,Wallowa,23,G,-117.429465,45.486737,0
Lowell RFPD,Rural,Combo,4,21,25,23.3,"1,983",83,"1,768",76,Lane,8,C,-122.77664,43.948501,0
Lyons RFD,Rural,Volunteer,0,25,25,26.4,"2,187",82,"2,679",101,Linn,6,B,-122.640608,44.749307,0
Malin RFPD,Rural,Volunteer,0,15,15,69.7,"1,422",21,"1,414",20,Klamath,15,F,-121.400726,42.044422,0
Marion Co. Fire Dist. 1,Rural,Combo,49,34,83,87.7,"54,060",617,"26,374",301,Marion,6,B,-122.879882,44.929134,0
Maupin FD,Municipal,Volunteer,0,11,11,1.7,458,270,472,273,Wasco,18,D,-121.090337,45.171913,0
Medford FD,Combination,Career,75,0,75,57.1,"88,101","1,694","50,180",880,Jackson,14,F,-122.853336,42.337062,0
Merrill RFPD,Rural,Volunteer,0,30,30,59.1,"1,673",29,"1,620",27,Klamath,15,F,-121.61884,42.031841,0
Mill City RFPD,Rural,Combo,5,17,22,6.6,"2,242",329,"1,751",265,Linn,6,B,-122.478532,44.747847,0
Millington RFPD,Rural,Combo,3,28,31,10.9,"3,033",283,"2,359",217,Coos,9,C,-124.180067,43.344441,0
Milton-Freewater FD,Null,Combo,1,20,21,278.1,"11,550",41,"2,651",10,Umatilla,19,D,-118.390984,45.934091,0
Mitchell VFD,Null,Volunteer,0,4,4,1.3,128,103,204,161,Wheeler,20,E,-120.153655,44.570204,0
Molalla Fire Dist.,Rural,Combo,15,21,36,101.4,"19,203",189,"11,681",115,Clackamas,3,A,-122.565105,45.131755,0
Monitor RFPD,Rural,Volunteer,0,19,19,35.9,"2,623",73,"2,579",72,Marion,6,B,-122.7734,45.113377,0
Monroe RFPD,Rural,Combo,1,25,26,86.2,"3,573",42,"3,227",37,Benton,6,B,-123.301004,44.265331,0
Monument FD,Null,Volunteer,0,7,7,0.5,103,198,146,278,Grant,21,G,-119.420864,44.821005,0
Moro FD,Null,Null,Null,Null,0,0.5,366,755,281,569,Sherman,18,D,-120.733457,45.483748,0
Mosier Fire Dist.,Rural,Combo,1,14,15,22.7,"1,140",50,"1,075",47,Wasco,18,D,-121.379692,45.665907,0
Mt. Vernon FD,Null,Combo,2,12,14,174.2,545,39,"1,181",7,Grant,21,G,-119.11317,44.416859,0
Corbett Fire Dist. 14,Rural,Combo,1,31,32,81.2,"3,727",45,"3,065",38,Multnomah,3,A,-122.252709,45.512046,0
Myrtle Creek FD,Municipal,Volunteer,0,27,27,19.3,"3,466",217,"3,019",156,Douglas,11,C,-123.225802,43.02896,0
Myrtle Point FD,Rural,Combo,4,12,16,1.6,"2,503","1,580","2,627","1,648",Coos,9,C,-124.137513,43.017433,0
Nestucca RFPD,Rural,Combo,13,40,53,90.4,"3,877",329,"6,106",68,Tillamook,4,A,-123.708747,45.283379,0
New Pine Creek RFPD,Null,Null,Null,Null,0,12.2,131,11,250,21,Lake,15,F,-120.309939,42.034945,0
Newport FD,Combination,Combo,14,15,29,23.4,"10,767",545,"6,951",297,Lincoln,4,B,-124.052319,44.624602,0
North Bay RFPD,Null,Combo,2,37,39,32,"2,262",71,"2,392",75,Coos,9,C,-124.199601,43.442577,0
North Bend FD,Municipal,Combo,18,27,45,5.1,"10,200","2,006","4,377",861,Coos,9,C,-124.236456,43.407451,0
North Powder RFD,Rural,Volunteer,0,21,21,68.3,122,2,991,14,Union,23,G,-117.816159,44.96305,0
Nyssa FD,Combination,Volunteer,0,20,20,69.1,"3,307",76,"3,183",46,Malheur,21,G,-117.060551,43.878465,0
Oakland RFPD,Rural,Volunteer,0,20,20,13.3,"1,482",111,"1,355",102,Douglas,11,C,-123.164079,43.45474,0
Oakridge FD,Municipal,Combo,4,16,20,2.2,"3,199","1,448","3,845","1,753",Lane,8,C,-122.463838,43.745017,0
Ontario FD,Municipal,Combo,31,1,32,6.1,"11,987","1,987","4,888",804,Malheur,21,G,-116.978083,44.024937,0
Ontario RFPD,Rural,Combo,Null,Null,0,50.9,"3,288",65,"2,933",58,Malheur,21,G,-116.982602,43.985516,0
Ophir RFPD,Rural,Volunteer,0,6,6,61.5,786,13,826,13,Curry,12,C,-124.317954,42.589986,0
Paisley VFD,Null,Combo,1,12,13,119,323,3,621,5,Lake,15,F,-120.473781,42.629855,0
Parkdale RFPD,Rural,Combo,2,24,26,32,"3,063",94,"3,012",94,Hood River,18,D,-121.588701,45.53961,0
Pendleton Fire & Amb.,Municipal,Combo,21,42,63,25.1,"17,351",769,"7,772",310,Umatilla,19,D,-118.757399,45.676251,0
Pilot Rock RFPD,Rural,Combo,1,18,19,358.6,"1,749",5,"1,744",5,Umatilla,19,D,-119.203805,45.436006,0
Pine Valley RFPD,Null,Null,Null,Null,0,46.2,916,20,"1,665",36,Baker,23,G,-117.093659,44.891397,0
Portland Bureau of Fire,Municipal,Career,668,0,668,140.1,"664,344","4,725","243,277","1,737",Multnomah,3,A,-122.649919,45.537197,27
Powers FD,Municipal,Combo,1,10,11,0.7,701,"1,074",572,874,Coos,9,C,-124.073692,42.886073,0
Prairie City FD,Municipal,Volunteer,0,15,15,118.8,794,9,"1,300",11,Grant,21,G,-118.709733,44.46111,0
Prospect RFPD,Rural,Volunteer,0,12,12,36.8,982,27,"1,616",44,Jackson,14,F,-122.523838,42.737347,0
Reedsport FD,Municipal,Volunteer,0,36,36,2.2,"4,273","1,878","2,582","1,154",Douglas,11,C,-124.122062,43.693795,0
Riddle FD,Rural,Volunteer,0,22,22,15.7,"2,278",147,"1,801",115,Douglas,11,C,-123.372614,42.93536,0
Rockaway FD,Null,Combo,3,10,13,2.6,"1,788",708,"2,668","1,044",Tillamook,4,A,-123.943687,45.61026,0
Rogue River Fire Dist. 1,Null,Combo,14,4,18,78.5,"8,223",105,"8,836",113,Jackson,14,F,-123.140398,42.425849,11
Roseburg FD,Municipal,Career,39,0,39,11,"24,392","2,264","9,724",884,Douglas,11,C,-123.351761,43.223275,0
Salem FD,Combination,Career,162,0,162,78.4,"180,653","2,409","74,667",953,Marion,6,B,-123.024467,44.923108,4
Sandy RFPD 72,Rural,Combo,17,23,40,5.3,"22,137","1,807","11,496","2,160",Clackamas,3,A,-122.223109,45.388263,1
Scappoose RFPD,Rural,Combo,18,14,32,97.1,"14,079",146,"8,495",87,Columbia,1,A,-122.874915,45.674511,1
Scio RFPD,Rural,Combo,1,30,31,100.9,"5,520",56,"7,079",70,Linn,6,B,-122.826445,44.675063,0
Seal Rock RFPD,Rural,Combo,4,27,31,16,"2,707",172,"2,682",168,Lincoln,4,B,-124.064973,44.485503,0
Seaside Fire & Rescue,Combination,Combo,8,23,31,11.4,"7,530",738,"5,203",458,Clatsop,1,A,-123.920324,45.989486,0
Seneca VFD,Null,Combo,8,8,16,0.8,158,194,230,282,Grant,21,G,-118.97663,44.135148,2
Jackson Co. Fire Dist. 4,Rural,Combo,7,10,17,37.4,"5,164",140,"6,387",171,Jackson,14,F,-122.822377,42.594489,0
Sheridan Fire Dist.,Rural,Combo,15,12,27,101.3,"8,519",86,"4,857",48,Yamhill,5,B,-123.365812,45.123921,0
Siletz RFPD,Rural,Combo,2,8,10,39.4,"2,587",66,"2,122",54,Lincoln,4,B,-123.828682,44.733373,0
Silver Lake RFPD,Rural,Volunteer,0,15,15,116.7,237,2,464,4,Lake,15,F,-121.03078,43.13325,0
